




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Client Text Box Input (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2541)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular process (GO:0009987)	15074	2165	1859.82	+	1.16	3.82E-43	6.00E-39
cellular metabolic process (GO:0044237)	7029	1176	867.23	+	1.36	1.32E-32	1.03E-28
Unclassified (UNCLASSIFIED)	2897	168	357.43	-	.47	1.60E-29	6.28E-26
biological_process (GO:0008150)	17698	2373	2183.57	+	1.09	1.60E-29	8.37E-26
metabolic process (GO:0008152)	7882	1264	972.48	+	1.30	2.30E-28	7.23E-25
cellular macromolecule metabolic process (GO:0044260)	4442	802	548.05	+	1.46	5.16E-28	1.35E-24
primary metabolic process (GO:0044238)	6869	1130	847.49	+	1.33	7.83E-28	1.76E-24
organic substance metabolic process (GO:0071704)	7404	1195	913.50	+	1.31	5.33E-27	1.05E-23
nitrogen compound metabolic process (GO:0006807)	6360	1055	784.69	+	1.34	2.29E-26	3.99E-23
macromolecule metabolic process (GO:0043170)	5743	965	708.57	+	1.36	4.44E-25	6.97E-22
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	1	60.21	-	.02	1.39E-23	1.99E-20
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	54.66	-	 < 0.01	4.12E-23	5.39E-20
positive regulation of cellular process (GO:0048522)	5580	927	688.46	+	1.35	2.75E-22	3.33E-19
positive regulation of biological process (GO:0048518)	6062	989	747.93	+	1.32	6.70E-22	7.52E-19
positive regulation of macromolecule metabolic process (GO:0010604)	3382	612	417.27	+	1.47	1.80E-20	1.89E-17
positive regulation of cellular metabolic process (GO:0031325)	3186	583	393.09	+	1.48	2.57E-20	2.53E-17
regulation of cellular metabolic process (GO:0031323)	5928	961	731.39	+	1.31	2.99E-20	2.76E-17
regulation of metabolic process (GO:0019222)	6586	1048	812.58	+	1.29	3.18E-20	2.77E-17
sensory perception of smell (GO:0007608)	468	3	57.74	-	.05	4.77E-20	3.95E-17
positive regulation of metabolic process (GO:0009893)	3675	651	453.42	+	1.44	5.80E-20	4.56E-17
cellular component organization or biogenesis (GO:0071840)	5496	900	678.09	+	1.33	1.14E-19	8.51E-17
detection of chemical stimulus (GO:0009593)	524	6	64.65	-	.09	2.53E-19	1.81E-16
cellular protein metabolic process (GO:0044267)	3219	582	397.16	+	1.47	2.88E-19	1.97E-16
cellular component organization (GO:0016043)	5298	870	653.66	+	1.33	3.88E-19	2.54E-16
regulation of macromolecule metabolic process (GO:0060255)	6083	974	750.52	+	1.30	4.44E-19	2.79E-16
negative regulation of cellular process (GO:0048523)	4785	800	590.37	+	1.36	4.68E-19	2.83E-16
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	546	369.15	+	1.48	1.07E-18	6.23E-16
sensory perception of chemical stimulus (GO:0007606)	542	8	66.87	-	.12	1.63E-18	9.15E-16
negative regulation of biological process (GO:0048519)	5187	849	639.97	+	1.33	3.00E-18	1.63E-15
regulation of primary metabolic process (GO:0080090)	5707	918	704.13	+	1.30	4.23E-18	2.22E-15
regulation of nitrogen compound metabolic process (GO:0051171)	5537	895	683.15	+	1.31	4.84E-18	2.46E-15
organelle organization (GO:0006996)	3360	592	414.55	+	1.43	1.99E-17	9.77E-15
cellular nitrogen compound metabolic process (GO:0034641)	3193	566	393.95	+	1.44	4.17E-17	1.98E-14
organonitrogen compound metabolic process (GO:1901564)	4787	785	590.62	+	1.33	9.98E-17	4.61E-14
protein metabolic process (GO:0019538)	3807	650	469.71	+	1.38	1.15E-16	5.16E-14
negative regulation of cellular metabolic process (GO:0031324)	2546	468	314.12	+	1.49	2.71E-16	1.18E-13
detection of stimulus involved in sensory perception (GO:0050906)	558	12	68.85	-	.17	5.20E-16	2.21E-13
negative regulation of macromolecule metabolic process (GO:0010605)	2737	494	337.69	+	1.46	5.58E-16	2.31E-13
